Job Title,Location,Company,Experience
Data Scientist,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Futurism Technologies,3-7 Yrs
Data Scientist,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Nityo Infotech,3-7 Yrs
Data Scientist,"Hybrid - Noida, Gurugram, Bengaluru",One of the global analytics and digital solutions company,3-5 Yrs
Data Scientist,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Nityo Infotech,3-7 Yrs
Data Scientist,Gurugram,Maruti Suzuki,4-7 Yrs
,"Mumbai, Pune, Chennai, Gurugram, Bengaluru",Neal Analytics,1-6 Yrs
,"Delhi / NCR, Hyderabad, Bengaluru",Foreign MNC,6-11 Yrs
,Gurugram,Jobpoint,4-7 Yrs
Data Scientist,Faridabad,Rarr Technologies,6-12 Yrs
Data Scientist,Noida,Precisely,1-3 Yrs
